Player,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,Unnamed: 26_level_1
"Hummel, Cooper",2024,8,8,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,23,6,1,16.7,16.7,82.3,-19.0,0.174,0.255,0.183,0.244,
"Salazar, César",2024,30,23,7,2,0,0,2,5,0.304,0.379,0.391,0.336,0.346,105,21,0,0.0,14.3,85.9,17.6,0.306,0.361,0.333,0.342,
"Whitcomb, Shay",2024,41,36,8,3,0,0,5,8,0.222,0.317,0.306,0.283,0.292,169,28,2,7.1,42.9,87.9,17.7,0.278,0.426,0.349,0.388,
"Dezenzo, Zach",2024,55,52,11,2,0,1,3,18,0.212,0.255,0.308,0.249,0.341,203,34,3,8.8,38.2,88.0,14.0,0.203,0.402,0.278,0.388,
"Gamel, Ben",2024,99,81,20,4,0,1,18,24,0.247,0.384,0.333,0.326,0.356,381,57,6,10.5,36.8,89.1,12.8,0.263,0.376,0.347,0.39,
"Diaz, Yainer",2024,572,539,162,26,3,16,23,96,0.301,0.327,0.449,0.332,0.384,1956,451,33,7.3,46.8,90.0,8.7,0.3,0.462,0.339,0.393,
"Bregman, Alex",2024,587,539,138,28,2,23,41,80,0.256,0.313,0.443,0.327,0.348,2213,461,28,6.1,40.9,89.2,18.6,0.256,0.411,0.316,0.334,
"Peña, Jeremy",2024,606,564,153,25,2,15,22,102,0.271,0.31,0.402,0.309,0.348,2132,470,27,5.7,38.7,88.3,7.9,0.274,0.415,0.318,0.36,
"Kessinger, Grae",2024,15,15,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,66,10,0,0.0,20.0,81.7,12.7,0.117,0.188,0.129,0.194,
"León, Pedro",2024,21,20,2,0,0,0,1,10,0.1,0.143,0.1,0.117,0.176,90,10,2,20.0,40.0,93.0,16.8,0.143,0.228,0.182,0.313,
"Cabbage, Trey",2024,91,86,18,8,0,1,4,34,0.209,0.253,0.337,0.258,0.385,336,52,8,15.4,53.8,92.8,7.7,0.197,0.359,0.26,0.388,
"Dubón, Mauricio",2024,389,366,98,23,0,4,14,52,0.268,0.295,0.363,0.287,0.313,1299,321,9,2.8,26.8,86.1,14.4,0.25,0.333,0.272,0.295,
"Meyers, Jake",2024,479,431,96,19,3,12,31,111,0.223,0.288,0.364,0.286,0.333,1695,327,23,7.0,37.6,88.4,14.5,0.245,0.4,0.312,0.37,
"Heyward, Jason",2024,226,199,43,11,2,8,19,46,0.216,0.293,0.412,0.304,0.338,902,156,8,5.1,42.3,87.8,9.5,0.229,0.343,0.287,0.314,
"Caratini, Victor",2024,231,206,57,8,1,6,19,41,0.277,0.342,0.413,0.33,0.363,866,168,11,6.5,45.2,91.6,7.7,0.274,0.434,0.342,0.379,
"McCormick, Chas",2024,267,242,51,6,1,5,17,72,0.211,0.271,0.306,0.257,0.31,1010,174,13,7.5,32.8,86.2,15.2,0.227,0.369,0.29,0.361,
"Alvarez, Yordan",2024,606,526,162,31,2,34,66,90,0.308,0.393,0.568,0.402,0.444,2143,440,63,14.3,48.4,92.8,18.5,0.307,0.611,0.415,0.462,
"Tucker, Kyle",2024,293,238,63,12,0,20,50,51,0.265,0.392,0.567,0.406,0.441,1177,189,26,13.8,44.4,91.1,21.7,0.278,0.554,0.406,0.44,
"Altuve, Jose",2024,640,589,177,28,0,19,45,111,0.301,0.356,0.445,0.349,0.394,2287,478,31,6.5,30.8,86.4,14.5,0.264,0.405,0.317,0.353,
"Singleton, Jon",2024,376,331,79,10,1,13,42,103,0.239,0.322,0.393,0.314,0.386,1502,231,22,9.5,38.5,89.1,12.5,0.237,0.401,0.317,0.391,
Astros,2024,5648,5119,1343,242,16,176,409,1091,0.262,0.322,0.419,0.321,0.366,20606,4082,312,7.6,38.9,88.9,13.6,0.261,0.426,0.325,0.371,
MLB,2024,168532,151205,36824,7242,641,5050,13761,37894,0.244,0.312,0.4,0.31,0.362,655014,114898,9032,7.9,38.9,88.9,13.4,0.246,0.406,0.315,0.37,
